ਨੌਜਵਾਨ ਅਲੈਕਸਿਸ ਨੂੰ ਇੱਕ ਪ੍ਰਵਾਸੀ ਦੀ ਤਰ੍ਹਾਂ ਮਹਿਸੂਸ ਹੋਇਆ ਅਤੇ ਉਸ ਨੇ ਜ਼ਿਆਦਾਤਰ ਸਮਾਂ ਹਾਈਕਿੰਗ, ਫੈਂਸਿੰਗ, ਘੋੜ ਸਵਾਰੀ ਅਤੇ ਅਟਲਾਂਟਿਕ ਵਿੱਚ ਸਮੁੰਦਰੀ ਯਾਤਰਾ ਕਰਨ ਵਿੱਚ ਬਤੀਤ ਕੀਤਾ।	27	naujavaan alexis nu ikk pravaasi di tarhaan mahisus hoya ate us ne zyadaatar samaa hiking, fencing, ghorh savaari ate atlantic vich samundari yaatra karan vich batit kita.	27	
ਫਰੀਡਾ ਕਾਹਲੋ ਦੇ ਰਿਵੇਰਾ (ਮਾਗਦਾਲੇਨਾ ਕਾਰਮੇਨ ਫਰਿਏਡਾ ਕਾਹਲੋ ਵਾਈ ਕਾਲਦੇਰੋਨ ਵਜੋਂ ਜਨਮੀ, 6 ਜੁਲਾਈ, 1907 - 13	17	Faridaa Kaahalo De Riveraa (Maagadaalenaa Kaaramen Fariedaa Kaahalo Vaai Kaaladeron vajon janami, 6 July, 1907 - 13	17	
ਜੁਲਾਈ, 1954) ਕੋਯੋਆਕਾਨ ਵਿੱਚ ਪੈਦਾ ਹੋਈ, ਇੱਕ ਮੈਕਸੀਕਨ ਚਿੱਤਰਕਾਰ ਸੀ ਜੋ ਆਪਣੇ ਆਤਮ ਚਿਤਰਾਂ ਲਈ ਪ੍ਰਸਿਧ ਸੀ।	17	July, 1954) koyoaakaan vich paidaa hoi, ikk Mexican chittarakaar si jo aapne aatam chitaraan lai prasidh si.	17	
ਸੁਤੰਤਰਤਾ ਅੰਦੋਲਨ ਦੇ ਇਤਿਹਾਸਕ ਦਬਾਅ ਕਾਰਨ ਹੀ ਵੱਖੋ-ਵੱਖਰੇ ਵਿਚਾਰਾਂ ਵਾਲੇ ਲੇਖਕ ਅਤੇ ਬੁੱਧੀਜੀਵੀ ਪ੍ਰਗਤੀਸ਼ੀਲ ਲੇਖਕ ਸੰਘ ਨਾਲ ਜੁੜੇ ਰਹਿੰਦੇ ਹਨ।	20	sutantartaa andolan de itehaasak dabaa kaaran hi vakkho-vakkhare vichaaraan vaale lekhak ate buddhijivi pragatishil lekhak sangh naal jurhe rehande han.	20	
ਸ਼ਾੲਿਦ ਮੇਰੀ ਕੁੱਖ ਦੀ ਵਿਲਕਣੀ	5	shaaid meri kukkh di vilakani	5	
ਇਹ ਦੱਰਾ ਪ੍ਰਾਚੀਨ ਰੇਸ਼ਮ ਰਸਤੇ ਦੀ ਇੱਕ ਸ਼ਾਖਾ ਦਾ ਵੀ ਹਿੱਸਾ ਰਿਹਾ ਹੈ।	13	eh darraa praachin resham rasate di ikk shakha daa vi hissaa reha hai.	13	
ਇਸ ਨਾਲ ਸਾਰੇ ਜਨਤਕ ਅਥਾਰਟੀ ਦੀ ਜ਼ਿੰਮੇਂਵਾਰੀ ਬਣ ਜਾਵੇਗੀ ਤੇ ਇਸ ਦੇ ਲਾਗੂ ਹੋਣ ਦੇ 6 ਮਹੀਨਿਆਂ ਦੇ ਅੰਦਰ ਉਹ ਆਪਣੇ ਵਿਭਾਗ ਵੱਲੋਂ ਦਿੱਤੀਆਂ ਜਾਣ ਵਾਲੀਆਂ ਸੇਵਾਵਾਂ ਅਤੇ ਵੰਡੀਆਂ	29	is naal saare jantak athaarati di zimmevaari ban jaavegi te is de laagu hon de 6 mahiniaan de andar uh aapne vibhag vallon ditiyan jaan valiyan sevaavaan ate vandiaan	29	
ਜਾਣ ਵਾਲੀਆਂ ਵਸਤੂਆਂ ਨਾਲ ਸਬੰਧਤ ਚਾਰਟਰ ਦਾ ਪ੍ਰਕਾਸ਼ਨ ਕਰਨਗੇ, ਜਿਸ ਵਿੱਚ ਸੇਵਾਵਾਂ, ਚੀਜ਼ਾਂ ਦੇ ਵੰਡਣ ਦਾ ਸਮਾਂ, ਸੇਵਾ ਦੇਣ ਵਾਲੇ ਵਿਅਕਤੀ ਦਾ ਅਹੁਦਾ ਅਤੇ ਪਤਾ ਵੀ ਦਿੱਤਾ ਜਾਵੇਗਾ।	28	jaan valiyan vasatuaan naal sabandhat charter daa prakaashan karange, jis vich sevaavaan, chizaan de vandan daa samaan, sevaa den vaale viakati daa ahudaa ate pataa vi ditta jaavegaa.	28	
ਇਸ ਨਾਵਲ ਦਾ ਲੇਖਕ ਚਰਨ ਸਿੰਘ ਸ਼ਹੀਦ ਹੈ ਵਿੱਚ ਨਾਵਲਕਾਰ ਅਠਾਰਵੀਂ ਸਦੀ ਦੇ ਸਿੱਖ ਮਿਸਲਾਂ ਦੇ ਅੰਤਿਮ ਸਮੇਂ	18	is naaval daa lekhak Charan Singh Shahid hai vich naavalakaar athaaravin sadi de sikkh misalaan de antim samen	18	
ਦੀ ਕਹਾਣੀ ਨੂੰ ਇੱਕ ਤਰ੍ਹਾਂ ਸਿਖ ਰਾਜ ਵਿੱਚ ਦੀ ਲੰਘਾ ਕੇ ਅੱਜ ਦੇ ਸਮੇਂ ਤਕ ਲੈ ਆਉਂਦਾ ਹੈ।	18	di kahaani nu ikk tarhaan sikh raaj vich di langhaa ke ajj de samen tak lai aaundaa hai.	18	
ਉਹ ਘਰ ਵਿੱਚ ਕਿਸੇ ਵੀ ਚੀਜ਼ ਨੂੰ ਨੁਕਸਾਨ ਨਹੀਂ ਪਹੁੰਚਾ ਸਕਦੇ ਅਤੇ ਨਾ ਹੀ ਆਪਣੀ ਮਰਜ਼ੀ ਨਾਲ ਘਰ ਛੱਡ ਸਕਦੇ ਹਨ।	21	uh ghar vich kise vi chiz nu nukasaan nahin pahunchaa sakde ate naa hi aapani marazi naal ghar chhadd sakde han.	21	
ਰੂਸ ਦਾ ਸੁਤੰਤਰ ਰਾਜ ਬਣ ਗਿਆ ਅਤੇ ਯੈਲਤਸਿਨ ਰਾਸ਼ਟਰਪਤੀ ਦੇ ਤੌਰ ਤੇ ਅਹੁਦੇ ਤੇ ਬਣਿਆ ਰਿਹਾ।	16	Rus daa sutantar raaj ban gaya ate Yailatasin raashatarapati de taur te ahude te baniaa reha.	16	
ਇਹ ਇੱਕ ਮਹੱਤਵਪੂਰਨ ਸਵਾਲ ਹੈ ਜੋ ਸਪੈਸ਼ਲ ਰਿਲੇਟੀਵਿਟੀ ਪ੍ਰਤਿ ਸਮਝ ਦੇ ਧੁਰ ਤੱਕ ਜਾਂਦਾ ਹੈ।"	15	eh ikk mahattavapuran savaal hai jo special relativity prati samajh de dhur takk janda hai."	15	
ਕਿਤਾਬ ਦਾ ਨਾਂ ਚੇਤਨ ਅਨੰਦ: ਦਿ ਪੋਇਟਿਕਸ ਆਫ ਫਿਲਮ ਅਤੇ ਇਸ ਨੇ ਮੁੰਬਈ ਦੇ ਥੀਏਟਰ ਅਤੇ ਸਿਨੇਮਾ ਦੇ ਜੀਵਨ ਨੂੰ 40 ਵੀਂ ਅਤੇ 50 ਦੇ ਦਹਾਕੇ ਦੇ ਸ਼ੁਰੂ ਵਿਚ ਦਰਸਾਇਆ।	30	kitab daa naan Chetan Anand: Di Poitikas aaph filam ate is ne Mumbai de thietar ate sinemaa de jivan nu 40 vin ate 50 de dahaake de shuru vich darasaya.	30	
