آء	aai	1
آء	aao	1
آء	aau	1
آء	ao	1
آءٌ	aao	1
آءٌ	aaoon	1
آءٌ	aaun	1
آئرش	aairish	1
آئرش	airash	1
آئرش	irash	1
آئرش	iresh	1
آئرش	irish	3
آئرلينڊ	aairland	1
آئرلينڊ	ireland	1
آئرلينڊ	irlend	1
آئرن	aairan	1
آئرن	aayeran	1
آئرن	airan	1
آئرن	irn	1
آئرن	iron	2
آئس	ice	3
آئل	aail	1
آئل	oil	3
آئل	oyal	1
آئن	aain	1
آئن	aaun	1
آئن	aayon	1
آئن	ain	1
آئن	ein	1
آئن	ion	1
آئنده	aaenda	1
آئنده	aaendah	1
آئنده	aenda	1
آئون	aaeon	1
آئون	aaon	1
آئون	aoon	1
آئين	aaheen	1
آئين	aaien	1
آئين	ahean	1
آئينده	aaeendah	1
آئينده	aaendah	1
آئينده	aendeh	1
آئينو	aeno	1
آئينو	aieno	2
آئيني	aaeene	1
آئيني	ahenay	1
آئيني	aieni	1
آئٺو	aaetho	1
آئٺو	aitho	2
آب	aab	3
آباد	aabad	2
آباد	abad	1
آبادي	aabadee	1
آبادي	aabadi	1
آبادي	abadi	1
آباديءَ	aabadi	1
آباديءَ	aabadia	1
آباديءَ	abadi	1
آباديون	abadiyoon	1
آباديون	abadyoun	2
آبادڪاري	aabadkari	1
آبادڪاري	abadgari	1
آبادڪاري	abadkari	2
آبادگار	aabaadgaar	1
آبادگار	abadgaar	2
آبادگارن	aabadgaran	2
آبادگارن	abadgaaran	1
آبدوز	aabdoz	2
آبدوز	abdooz	1
آبرو	aabro	1
آبرو	aabru	1
آبرو	abro	1
آبروءَ	aabroa	2
آبروءَ	abrooa	1
آبري	aabari	1
آبري	aabree	1
آبري	aabri	1
آبشار	aabshar	1
آبشار	abishar	1
آبشار	absar	1
آبهوا	aabhawa	1
آبهوا	abhawa	1
آبهوا	abhuhawa	1
آبو	aabo	1
آبو	abo	2
آبي	aabi	1
آبي	abie	1
آبي	aby	1
آبياري	aabiyari	1
آبياري	abeare	1
آبياري	abyari	1
آبِ	aab	3
آبِ	aabe	1
آبپاشي	aabapashi	1
آبپاشي	aabpashee	1
آبپاشي	aabpashi	1
آبپاشيءَ	aabpaashee	1
آبپاشيءَ	aabpashia	1
آبپاشيءَ	abpashii	1
آبڙ	aabad	1
آبڙ	aaber	1
آبڙ	abarr	1
آبڪاري	aabkaree	1
آبڪاري	aabkari	1
آبڪاري	abkaari	1
آبڪلاڻي	abkalani	2
آبڪلاڻي	abkalannee	1
آتش	aatish	1
آتش	atash	1
آتش	atish	1
آتشبازي	aatishbazi	1
آتشبازي	atashbaazi	1
آتشبازي	atishabazi	1
آتشي	aatishi	1
آتشي	atishi	1
آتشي	tatashi	1
آتما	aatama	1
آتما	aatma	1
آتما	atma	1
آثار	aasar	3
آثارن	aasaran	2
آثارن	asarun	1
آثارِ	aasar	1
آثارِ	aashar	1
آثارِ	asaar	1
آثم	aasam	1
آثم	aashum	1
آثم	asham	1
آجيان	aajiyan	1
آجيان	aajyaan	1
آجيان	aajyan	1
آجياڻو	aajiano	1
آجياڻو	aajiyano	1
آجياڻو	aajyani	1
آجياڻو	aajyanno	1
آجپو	aajpo	2
آجپو	ajipo	1
آجپي	aajpe	3
آخر	aakhir	1
آخر	akhar	1
آخر	akhir	1
آخرت	aakhrat	2
آخرت	akhrat	1
آخري	aakhree	1
آخري	aakhri	1
آخري	akhri	1
آخرين	aakhreen	2
آخرين	aakhrin	1
آخرين	aakhryan	1
آخرين	akhreen	1
آخرڪار	aakhirkaar	1
آخرڪار	aakhirkar	1
آخرڪار	akhirkar	1
آد	aad	3
آداب	aadab	3
آدم	aadam	1
آدم	adam	4
آدمشماري	adamshimari	1
آدمشماري	adamshumari	2
آدمشماريءَ	adamshimari	1
آدمشماريءَ	adamshumari	1
آدمشماريءَ	adamshumaria	1
آدي	aadi	1
آدي	adhi	1
آدي	adi	1
آديسي	aadesi	2
آديسي	adesi	1
آذربائيجان	aazarbaaeejaan	1
آذربائيجان	azarabayajan	1
آذربائيجان	azarbaejan	1
