پاڪستان جي ٺھڻ کان پوءِ بلوچستان ۾ ’براهوئي رائٽرس گلڊ‘ قائم ٿي آهي؛ پر اسڪولن ۾ اڃا بروهي زبان رائج ڪو نه ٿي آهي.	Pakistan je thhnr khan poi balochistan men 'bruhoie writers guild' qaaim thi ahe, para school men ajan brohe zibaan raij ko na thi ahe.
هندو اَسؤَ مهيني جا پهريان نَوَ ڏينهن روزا رکندا آهن، جي ”ايڪهڻا“ سڏبا آهن.	hindu aasaoa mahine jaa phareuna naoa denhan roza rakhanda ahin, je "aekhnra" saduba ahin.
ماءُ جي فوت ٿي وڃڻ ڪري سندس پالنا ناناڻن ڪئي.	maau je fot thi wajan kare sandas palna nunaunun kai.
پاري ننگر کي جڏھن دھليءَ جي مسلمان فوجن ١٢٢٦ع ۾ تباھ ۽ برباد ڪيو، تھ اتان جو واپاري طبقو لڏي اچي ڀوڏيسر ۾ آباد ٿيو.	paare nngr khe jadahin dhlea je musalman fojan 1226 men tbah aen brbad kayo, ta utaan jo wapari tbko lade ache bhwadesir men aabad thiyo.
ڊي ڪارٽ جي سخت فلاسافيءَ جي ڪري ماديت کي هڪ نئين جواني ملي.	di kaartt je sakht flaasaafeea je kare madet khe hiku naen jawaane mile.
هن جي قتل عام جي ڪري ايترو ڊڄي ويا هئا، جو سندس لشڪر جي اچڻ جو ٻڌي نڪري هليا ويا.	hin je qatal aam je kare aetro dje wiya huwa, jo sandas lashkar je achanu jo budhi nikre haliya wiya.
اندروني شورشن کي به ٻنجو ڏنائين ۽ ماڻهن مس مس سک جو ساهه کنيو.	andarone shorshn khe bi binjo dinaain aen manhun masa masa sukh jo saahu khanyo.
ڌرم جي ڪابہ ھڪڙي معني ناھي ھندو ازم، سک ازم، ٻڌازم ۽ جين ازم ۾ ھن لفظ جون مختلف معنائون آهن ڌرم لفظ جو ويسٽرن ٻولين ۾ ڪنھن ھڪڙي لفظ سان ترجمو ممڪن ناهي .	dharam ji ka ba hikri manya nahe, hinduism, sikhism, budhism, aen jenism main hin lafz jun mukhtlif manaoon aahin dharam lafz jo western bolyan main kehn hikde lafz san tarjmo mumkin nahy.
لاٽون ڦيرائڻ کان گُڏي پرڻائڻ تائين ٻالجتيءَ جون سڀئي رانديون ۽ وندرون ٻاراڻي ادب ۽ شاعريءَ جو موضوع رهيون آهن، جيڪي هر ماڻهوءَ جي ننڍپڻ جي ساروڻين جو حصو آهن.	laatton pherainr khan gude paranrainr taaen baljitea joon sabhai raandieon aen ondaruon baraani adabu aen shaairia jo mozou rahiyun ahin, jeke har manhoa je nndhpinu je saarwanuen jo hiso ahin.
بعد ۾ ڏکڻ-اولهه ڏانهن رخ کي، ٺٽي ڏانهن منهن ڪري ٿو.	baad men dakhanuolaha daanhan rukh khe, thate daanhan munhin kare tho.
اها اندرين سوجهي هڪ الاهي ڏات آهي، جنهن جو ذات پات سان ڪوبه لاڳاپو ڪونهي.	uha andaren swijhe hiku alaahe dat ahe, jahin jo zaat pat saan kobi laguapo konhe.
جنهن سندس ترڪ سردارن کي ناراض ڪري وڌو.	jahin sandas trk sardaarn khe naraz kare wadho.
ٻيو قسم ڳاڙهي رنگ جو ٿيندو آهي.	biyo qasam gadrhe rang jo thindo ahe.
انهن ۾ گهڻا رستا پنجاب ۽ سرحد صوبن ۾ هئا.	unhan men ghanaa rsataa panaab aen sirhada sobin men huwa.
سندس انسيت جي ايم سيد، شيخ عبدالمجيد سنڌي ۽ ذوالفقار علي ڀٽي سان گهڻي هئي.	sandas ansyat jee aen sayed, shaikh Abdul Majeed sindhi aen Zulfiqaar Ali Bhati saan ghani hui.
ان جذبات ۾ پوءِ هوءَ نه ٿي ڏسي سفر جي ڏکيائي، رستي جو ثمر، نه منزل جي ڄاڻ، عشق ۾ ديوانو ٿي نتيجي تي غور ڪرڻ بنا پيار حاصل ڪرڻ لاءِ نڪري پوڻ عشق ۾ عجيب ڳالهه ڪونهي پر اهڙن قصن جي نفسياتي اثر هيٺ ڪن وڏن مسئلن تي اسان جا فيصلا اهڙا ئي رهيا آهن.	una jzbat men poi hoa na thi disi safaru je dkheaie, raste jo smr, na manzil je jaana, ishiq men diwaano thi natije te gor karanu binaa piyaar haasil karanu laai nikre pwanu ishiq men ajeeb gaalih konhe para ahran ksn je nfseute asaru heth kan wadan masailan te asan jaa feeslaa ahraa ie rahiya ahin.
